ID,ESTIMATIVA,RESPOSTA,ERRO,ERRO_ACEITAVEL,ERRO < ERRO_ACEITAVEL,EPS,DELTA,SOMA_PESOS,T,K,TIME,,,"0,01",,DELTA,EPS
3,556201,0,556201,2148347,TRUE,"0,1","0,05",21483478,3,20,"5,74505",,,"0,05",,"0,05","0,1"
4,552897,0,552897,2148347,TRUE,"0,1","0,05",21483478,3,20,"5,74505",,,"0,05",,"0,05","0,1"
5,557603,0,557603,2148347,TRUE,"0,1","0,05",21483478,3,20,"5,74505",,,"0,06",,"0,05","0,1"
1,559234,0,559234,2148347,TRUE,"0,1","0,06",21483478,3,20,"5,7146",,,"0,06",,"0,06","0,1"
2,560229,0,560229,2148347,TRUE,"0,1","0,06",21483478,3,20,"5,71461",,,"0,06",,"0,06","0,1"
3,558873,0,558873,2148347,TRUE,"0,1","0,06",21483478,3,20,"5,71461",,,"0,06",,"0,06","0,1"
4,554400,0,554400,2148347,TRUE,"0,1","0,06",21483478,3,20,"5,71462",,,"0,06",,"0,06","0,1"
5,557209,0,557209,2148347,TRUE,"0,1","0,06",21483478,3,20,"5,71462",,,"0,07",,"0,06","0,1"
1,558739,0,558739,2148347,TRUE,"0,1","0,07",21483478,3,20,"5,70071",,,"0,07",,"0,07","0,1"
2,560757,0,560757,2148347,TRUE,"0,1","0,07",21483478,3,20,"5,70076",,,"0,07",,"0,07","0,1"
3,556288,0,556288,2148347,TRUE,"0,1","0,07",21483478,3,20,"5,70076",,,"0,07",,"0,07","0,1"
4,559073,0,559073,2148347,TRUE,"0,1","0,07",21483478,3,20,"5,70076",,,"0,07",,"0,07","0,1"
5,556785,0,556785,2148347,TRUE,"0,1","0,07",21483478,3,20,"5,70076",,,"0,08",,"0,07","0,1"
1,555705,0,555705,2148347,TRUE,"0,1","0,08",21483478,3,20,"5,84519",,,"0,08",,"0,08","0,1"
2,557093,0,557093,2148347,TRUE,"0,1","0,08",21483478,3,20,"5,8452",,,"0,08",,"0,08","0,1"
3,553611,0,553611,2148347,TRUE,"0,1","0,08",21483478,3,20,"5,8452",,,"0,08",,"0,08","0,1"
4,559119,0,559119,2148347,TRUE,"0,1","0,08",21483478,3,20,"5,84521",,,"0,08",,"0,08","0,1"
5,550463,0,550463,2148347,TRUE,"0,1","0,08",21483478,3,20,"5,84521",,,"0,09",,"0,08","0,1"
1,560265,0,560265,2148347,TRUE,"0,1","0,09",21483478,3,20,"5,78177",,,"0,09",,"0,09","0,1"
2,553517,0,553517,2148347,TRUE,"0,1","0,09",21483478,3,20,"5,78179",,,"0,09",,"0,09","0,1"
3,549587,0,549587,2148347,TRUE,"0,1","0,09",21483478,3,20,"5,78179",,,"0,09",,"0,09","0,1"
4,558566,0,558566,2148347,TRUE,"0,1","0,09",21483478,3,20,"5,78179",,,"0,09",,"0,09","0,1"
5,550436,0,550436,2148347,TRUE,"0,1","0,09",21483478,3,20,"5,78179",,,"0,1",,"0,09","0,1"
1,557066,0,557066,2148347,TRUE,"0,1","0,1",21483478,3,20,"5,70232",,,"0,1",,"0,1","0,1"
2,557801,0,557801,2148347,TRUE,"0,1","0,1",21483478,3,20,"5,70234",,,"0,1",,"0,1","0,1"
3,559041,0,559041,2148347,TRUE,"0,1","0,1",21483478,3,20,"5,70234",,,"0,1",,"0,1","0,1"
4,563315,0,563315,2148347,TRUE,"0,1","0,1",21483478,3,20,"5,70234",,,"0,1",,"0,1","0,1"
5,560293,0,560293,2148347,TRUE,"0,1","0,1",21483478,3,20,"5,70235",,,"0,01",,"0,1","0,1"
1,852754,0,852754,3222521,TRUE,"0,15","0,01",21483478,5,13,"7,13952",,,"0,01",,"0,01","0,15"
2,855108,0,855108,3222521,TRUE,"0,15","0,01",21483478,5,13,"7,13953",,,"0,01",,"0,01","0,15"
3,860099,0,860099,3222521,TRUE,"0,15","0,01",21483478,5,13,"7,13954",,,"0,01",,"0,01","0,15"
4,856021,0,856021,3222521,TRUE,"0,15","0,01",21483478,5,13,"7,13954",,,"0,01",,"0,01","0,15"
5,855627,0,855627,3222521,TRUE,"0,15","0,01",21483478,5,13,"7,13954",,,"0,02",,"0,01","0,15"
1,859089,0,859089,3222521,TRUE,"0,15","0,02",21483478,4,13,"6,41498",,,"0,02",,"0,02","0,15"
2,854166,0,854166,3222521,TRUE,"0,15","0,02",21483478,4,13,"6,41499",,,"0,02",,"0,02","0,15"
3,856083,0,856083,3222521,TRUE,"0,15","0,02",21483478,4,13,"6,41499",,,"0,02",,"0,02","0,15"
4,857586,0,857586,3222521,TRUE,"0,15","0,02",21483478,4,13,"6,41499",,,"0,02",,"0,02","0,15"
5,858208,0,858208,3222521,TRUE,"0,15","0,02",21483478,4,13,6415,,,"0,03",,"0,02","0,15"
1,856347,0,856347,3222521,TRUE,"0,15","0,03",21483478,4,13,"6,56611",,,"0,03",,"0,03","0,15"
2,864286,0,864286,3222521,TRUE,"0,15","0,03",21483478,4,13,"6,56613",,,"0,03",,"0,03","0,15"
3,852185,0,852185,3222521,TRUE,"0,15","0,03",21483478,4,13,"6,56613",,,"0,03",,"0,03","0,15"
4,859630,0,859630,3222521,TRUE,"0,15","0,03",21483478,4,13,"6,56613",,,"0,03",,"0,03","0,15"
5,853571,0,853571,3222521,TRUE,"0,15","0,03",21483478,4,13,"6,56614",,,"0,04",,"0,03","0,15"
1,856525,0,856525,3222521,TRUE,"0,15","0,04",21483478,4,13,"6,56804",,,"0,04",,"0,04","0,15"
2,855299,0,855299,3222521,TRUE,"0,15","0,04",21483478,4,13,"6,56805",,,"0,04",,"0,04","0,15"
3,853261,0,853261,3222521,TRUE,"0,15","0,04",21483478,4,13,"6,56805",,,"0,04",,"0,04","0,15"
4,856327,0,856327,3222521,TRUE,"0,15","0,04",21483478,4,13,"6,56806",,,"0,04",,"0,04","0,15"
5,852838,0,852838,3222521,TRUE,"0,15","0,04",21483478,4,13,"6,56806",,,"0,05",,"0,04","0,15"
1,858418,0,858418,3222521,TRUE,"0,15","0,05",21483478,3,13,"5,82421",,,"0,05",,"0,05","0,15"
2,862214,0,862214,3222521,TRUE,"0,15","0,05",21483478,3,13,"5,82422",,,"0,05",,"0,05","0,15"
3,851038,0,851038,3222521,TRUE,"0,15","0,05",21483478,3,13,"5,82422",,,"0,05",,"0,05","0,15"
4,855445,0,855445,3222521,TRUE,"0,15","0,05",21483478,3,13,"5,82423",,,"0,05",,"0,05","0,15"
5,860608,0,860608,3222521,TRUE,"0,15","0,05",21483478,3,13,"5,82423",,,"0,06",,"0,05","0,15"
1,856685,0,856685,3222521,TRUE,"0,15","0,06",21483478,3,13,"5,71253",,,"0,06",,"0,06","0,15"
2,855202,0,855202,3222521,TRUE,"0,15","0,06",21483478,3,13,"5,71254",,,"0,06",,"0,06","0,15"
